step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,current_zone,alternation_rate,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
31,0.62,60.06280210204387,60.0,7.597987685880858e-23,0.10542515035545391,0.0,0.0,hub,0.0,31,60.06280210204387,60.0,7.597987685880858e-23,0.10542515035545391,WANDER,0.55,0,0,0,0,y_maze
32,0.64,60.064855042824966,60.0,7.889326185698774e-23,0.1026470390550514,0.0,0.0,hub,0.0,32,60.064855042824966,60.0,7.889326185698774e-23,0.1026470390550514,WANDER,0.55,0,0,0,0,y_maze
33,0.66,60.06691049048752,60.0,8.166894716444066e-23,0.10277238312781133,0.0,0.0,hub,0.0,33,60.06691049048752,60.0,8.166894716444066e-23,0.10277238312781133,WANDER,0.55,0,0,0,0,y_maze
34,0.68,60.06901538057169,60.0,8.431347351647684e-23,0.10524450420849163,0.0,0.0,hub,0.0,34,60.06901538057169,60.0,8.431347351647684e-23,0.10524450420849163,WANDER,0.55,0,0,0,0,y_maze
35,0.7000000000000001,60.07120179141365,60.0,8.683307096347857e-23,0.10932054209806402,0.0,0.0,hub,0.0,35,60.07120179141365,60.0,8.683307096347857e-23,0.10932054209806402,WANDER,0.55,0,0,0,0,y_maze
36,0.72,60.073484532503166,60.0,8.923367362843501e-23,0.114137054475821,0.0,0.0,hub,0.0,36,60.073484532503166,60.0,8.923367362843501e-23,0.114137054475821,WANDER,0.55,0,0,0,0,y_maze
37,0.74,60.07586026237982,60.0,9.178133913534675e-23,0.1187864938326362,0.0,0.0,hub,0.0,37,60.07586026237982,60.0,9.178133913534675e-23,0.1187864938326362,WANDER,0.55,0,0,0,0,y_maze
38,0.76,60.0783082162246,60.0,9.394829869938148e-23,0.12239769223908242,0.0,0.0,hub,0.0,38,60.0783082162246,60.0,9.394829869938148e-23,0.12239769223908242,WANDER,0.55,0,0,0,0,y_maze
39,0.78,60.080792478720284,60.0,9.62734191526653e-23,0.12421312478428326,0.0,0.0,hub,0.0,39,60.080792478720284,60.0,9.62734191526653e-23,0.12421312478428326,WANDER,0.55,0,0,0,0,y_maze
40,0.8,60.08326559895774,60.0,9.822840455311945e-23,0.12365601187268878,0.0,0.0,hub,0.0,40,60.08326559895774,60.0,9.822840455311945e-23,0.12365601187268878,WANDER,0.55,0,0,0,0,y_maze
41,0.8200000000000001,60.08567322361903,60.0,9.983080887188584e-23,0.12038123306468687,0.0,0.0,hub,0.0,41,60.08567322361903,60.0,9.983080887188584e-23,0.12038123306468687,WANDER,0.55,0,0,0,0,y_maze
42,0.84,60.08798567714497,60.0,1.0187856838203753e-22,0.11562267629693412,0.0,0.0,hub,0.0,42,60.08798567714497,60.0,1.0187856838203753e-22,0.11562267629693412,WANDER,0.55,0,0,0,0,y_maze
43,0.86,60.090265026284754,60.0,1.0409017822786525e-22,0.1139674569891342,0.0,0.0,hub,0.0,43,60.090265026284754,60.0,1.0409017822786525e-22,0.1139674569891342,WANDER,0.55,0,0,0,0,y_maze
44,0.88,60.09256417337736,60.0,1.0645788296229188e-22,0.11495735463031481,0.0,0.0,hub,0.0,44,60.09256417337736,60.0,1.0645788296229188e-22,0.11495735463031481,WANDER,0.55,0,0,0,0,y_maze
45,0.9,60.09492265221673,60.0,1.08713890150123e-22,0.11792394196861614,0.0,0.0,hub,0.0,45,60.09492265221673,60.0,1.08713890150123e-22,0.11792394196861614,WANDER,0.55,0,0,0,0,y_maze
46,0.92,60.09736359975121,60.0,1.1086350542482187e-22,0.12204737672401511,0.0,0.0,hub,0.0,46,60.09736359975121,60.0,1.1086350542482187e-22,0.12204737672401511,WANDER,0.55,0,0,0,0,y_maze
47,0.9400000000000001,60.099892176645646,60.0,1.129117824022623e-22,0.12642884472154078,0.0,0.0,hub,0.0,47,60.099892176645646,60.0,1.129117824022623e-22,0.12642884472154078,WANDER,0.55,0,0,0,0,y_maze
48,0.96,60.102495579585984,60.0,1.1486353465156407e-22,0.130170147016787,0.0,0.0,hub,0.0,48,60.102495579585984,60.0,1.1486353465156407e-22,0.130170147016787,WANDER,0.55,0,0,0,0,y_maze
49,0.98,60.10514464523022,60.0,1.164629417254603e-22,0.13245328221173489,0.0,0.0,hub,0.0,49,60.10514464523022,60.0,1.164629417254603e-22,0.13245328221173489,WANDER,0.55,0,0,0,0,y_maze
50,1.0,60.10779690274417,60.0,1.179871179477687e-22,0.13261287569771993,0.0,0.0,hub,0.0,50,60.10779690274417,60.0,1.179871179477687e-22,0.13261287569771993,WANDER,0.55,0,0,0,0,y_maze
51,1.02,60.11040080174348,60.0,1.1943963678393971e-22,0.1301949499656576,0.0,0.0,hub,0.0,51,60.11040080174348,60.0,1.1943963678393971e-22,0.1301949499656576,WANDER,0.55,0,0,0,0,y_maze
52,1.04,60.112900736877634,60.0,1.2108430733166832e-22,0.12499675670780629,0.0,0.0,hub,0.0,52,60.112900736877634,60.0,1.2108430733166832e-22,0.12499675670780629,WANDER,0.55,0,0,0,0,y_maze
53,1.06,60.11533393114265,60.0,1.2291202982852303e-22,0.12165971325088959,0.0,0.0,hub,0.0,53,60.11533393114265,60.0,1.2291202982852303e-22,0.12165971325088959,WANDER,0.55,0,0,0,0,y_maze
54,1.08,60.11775824705804,60.0,1.2465373137893438e-22,0.1212157957695753,0.0,0.0,hub,0.0,54,60.11775824705804,60.0,1.2465373137893438e-22,0.1212157957695753,WANDER,0.55,0,0,0,0,y_maze
55,1.1,60.12021990869775,60.0,1.2631349797785843e-22,0.12308308198546487,0.0,0.0,hub,0.0,55,60.12021990869775,60.0,1.2631349797785843e-22,0.12308308198546487,WANDER,0.55,0,0,0,0,y_maze
56,1.12,60.12274991066272,60.0,1.2763481616363736e-22,0.12650009824854488,0.0,0.0,hub,0.0,56,60.12274991066272,60.0,1.2763481616363736e-22,0.12650009824854488,WANDER,0.55,0,0,0,0,y_maze
57,1.1400000000000001,60.12536176938255,60.0,1.2889414016388156e-22,0.1305929359915646,0.0,0.0,hub,0.0,57,60.12536176938255,60.0,1.2889414016388156e-22,0.1305929359915646,WANDER,0.55,0,0,0,0,y_maze
58,1.16,60.12805081979847,60.0,1.2983400933055044e-22,0.13445252079593317,0.0,0.0,hub,0.0,58,60.12805081979847,60.0,1.2983400933055044e-22,0.13445252079593317,WANDER,0.55,0,0,0,0,y_maze
59,1.18,60.13079512166329,60.0,1.3099038106807827e-22,0.13721509324116593,0.0,0.0,hub,0.0,59,60.13079512166329,60.0,1.3099038106807827e-22,0.13721509324116593,WANDER,0.55,0,0,0,0,y_maze
60,1.2,60.13355789511182,60.0,1.3209259357636328e-22,0.1381386724265947,0.0,0.0,hub,0.0,60,60.13355789511182,60.0,1.3209259357636328e-22,0.1381386724265947,WANDER,0.55,0,0,0,0,y_maze
