trial_id,condition,seed,success,killed,ttf,distance,initial_euclidean,pte,tortuosity,upwind_fidelity,satiety_auc,escapes_count
294,DELTA_CX,20135,0,1,81,216.13,47.45,0.2195,4.2813,0.47,0.5485,30
295,DELTA_CX,20136,1,0,156,352.78,47.98,0.136,6.986,0.2048,0.5483,60
296,DELTA_CX,20137,0,1,50,184.31,45.02,0.2443,6.4657,0.0396,0.5485,30
297,DELTA_CX,20138,0,0,400,874.99,47.65,0.0545,13.9161,0.0946,0.5457,90
298,DELTA_CX,20139,0,1,333,835.8,47.88,0.0573,19.3986,0.0413,0.5463,120
299,DELTA_CX,20140,0,1,140,377.76,42.55,0.1126,10.5798,0.2549,0.5481,60
300,DELTA_CX,20141,0,1,130,391.21,44.05,0.1126,30.0166,0.3195,0.5482,60
301,DELTA_JO,30042,0,1,130,336.58,45.39,0.1348,9.0059,0.0199,0.5482,60
302,DELTA_JO,30043,0,1,84,209.78,49.95,0.2381,9.6528,-0.0232,0.5485,31
303,DELTA_JO,30044,0,1,91,300.83,46.72,0.1553,12.7513,0.4855,0.5485,32
304,DELTA_JO,30045,0,1,82,258.43,50.37,0.1949,40.6839,0.3729,0.5485,30
305,DELTA_JO,30046,0,1,124,376.96,45.67,0.1212,11.2033,0.0464,0.5483,60
306,DELTA_JO,30047,0,1,132,340.49,48.18,0.1415,8.301,0.1594,0.5482,60
307,DELTA_JO,30048,0,1,49,175.39,42.86,0.2444,4.6499,-0.0682,0.5485,30
308,DELTA_JO,30049,0,0,400,913.82,46.81,0.0512,27.6299,-0.0038,0.5457,90
309,DELTA_JO,30050,0,1,100,315.64,46.77,0.1482,9.434,-0.0092,0.5484,43
310,DELTA_JO,30051,0,1,46,145.05,45.27,0.3121,10.8465,0.174,0.5484,31
311,DELTA_JO,30052,0,1,51,198.45,48.08,0.2423,4.3501,0.3479,0.5485,30
312,DELTA_JO,30053,0,1,83,247.33,50.57,0.2045,6.7704,0.4884,0.5485,30
313,DELTA_JO,30054,0,1,77,240.63,45.6,0.1895,6.1117,0.0154,0.5485,30
314,DELTA_JO,30055,0,1,86,260.14,48.82,0.1877,9.8902,0.0394,0.5485,30
315,DELTA_JO,30056,0,1,131,366.09,47.07,0.1286,10.0608,0.3252,0.5482,60
316,DELTA_JO,30057,0,1,132,386.15,49.75,0.1288,41.1572,0.0955,0.5482,60
317,DELTA_JO,30058,0,1,95,251.72,46.17,0.1834,5.0495,0.4964,0.5485,42
318,DELTA_JO,30059,0,0,400,699.46,45.49,0.065,12.8053,-0.0099,0.5457,60
319,DELTA_JO,30060,0,1,46,172.29,50.36,0.2923,5.8079,0.0649,0.5485,30
320,DELTA_JO,30061,0,1,47,136.32,44.8,0.3286,7.1569,-0.049,0.5485,31
321,DELTA_JO,30062,0,1,127,346.23,49.6,0.1433,8.2398,0.1744,0.5483,60
322,DELTA_JO,30063,0,1,154,464.06,48.92,0.1054,17.0245,0.2304,0.548,60
323,DELTA_JO,30064,0,1,223,593.01,44.68,0.0753,14.9311,-0.0713,0.5474,90
324,DELTA_JO,30065,0,0,400,878.8,48.26,0.0549,28.9311,-0.0213,0.5457,60
325,DELTA_JO,30066,0,1,44,152.49,45.51,0.2984,8.812,0.0281,0.5484,30
326,DELTA_JO,30067,0,1,47,185.56,51.08,0.2753,4.0635,0.198,0.5485,30
327,DELTA_JO,30068,0,1,133,357.87,46.5,0.1299,149.7013,-0.0115,0.5482,60
328,DELTA_JO,30069,0,1,80,235.14,44.8,0.1905,15.8665,-0.001,0.5485,30
329,DELTA_JO,30070,0,0,400,912.64,50.47,0.0553,19.6335,-0.0503,0.5457,103
330,DELTA_JO,30071,0,1,227,525.0,44.19,0.0842,24.2166,0.0383,0.5474,60
331,DELTA_JO,30072,0,1,145,397.63,45.38,0.1141,31.4132,0.0739,0.5481,60
