step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,goal_distance,goal_reached,collided,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
28,0.56,15.0624722196837,15.0,5.553234692056017e-24,0.14950126890564616,0.0,0.0,134.57831412765265,0.0,0.0,28,15.0624722196837,15.0,5.553234692056017e-24,0.14950126890564616,WANDER,0.55,0,0,0,0,labyrinth
29,0.58,15.065434899663217,15.0,5.8857672390503834e-24,0.14813399897585813,0.0,0.0,134.57576041862436,0.0,0.0,29,15.065434899663217,15.0,5.8857672390503834e-24,0.14813399897585813,WANDER,0.55,0,0,0,0,labyrinth
30,0.6,15.068269597460864,15.0,6.202504490062518e-24,0.14173488988238242,0.0,0.0,134.57323008237393,0.0,0.0,30,15.068269597460864,15.0,6.202504490062518e-24,0.14173488988238242,WANDER,0.55,0,0,0,0,labyrinth
31,0.62,15.071093683544662,15.0,6.5041967216515756e-24,0.14120430418995164,0.0,0.0,134.5708090683932,0.0,0.0,31,15.071093683544662,15.0,6.5041967216515756e-24,0.14120430418995164,WANDER,0.55,0,0,0,0,labyrinth
32,0.64,15.073998973862995,15.0,6.737348463615877e-24,0.14526451591662776,0.0,0.0,134.5683971335639,0.0,0.0,32,15.073998973862995,15.0,6.737348463615877e-24,0.14526451591662776,WANDER,0.55,0,0,0,0,labyrinth
33,0.66,15.07703705609834,15.0,7.01363560646115e-24,0.15190411176725227,0.0,0.0,134.56591586230013,0.0,0.0,33,15.07703705609834,15.0,7.01363560646115e-24,0.15190411176725227,WANDER,0.55,0,0,0,0,labyrinth
34,0.68,15.080211532825896,15.0,7.276799110021274e-24,0.15872383637775764,0.0,0.0,134.56332119788584,0.0,0.0,34,15.080211532825896,15.0,7.276799110021274e-24,0.15872383637775764,WANDER,0.55,0,0,0,0,labyrinth
35,0.7000000000000001,15.08347852630592,15.0,7.473252238538015e-24,0.16334967400114503,0.0,0.0,134.56061006602206,0.0,0.0,35,15.08347852630592,15.0,7.473252238538015e-24,0.16334967400114503,WANDER,0.55,0,0,0,0,labyrinth
36,0.72,15.08675535818649,15.0,7.606163734825936e-24,0.16384159402858375,0.0,0.0,134.55781994226123,0.0,0.0,36,15.08675535818649,15.0,7.606163734825936e-24,0.16384159402858375,WANDER,0.55,0,0,0,0,labyrinth
37,0.74,15.089935901543132,15.0,7.732761935040181e-24,0.15902716783212045,0.0,0.0,134.55502143773484,0.0,0.0,37,15.089935901543132,15.0,7.732761935040181e-24,0.15902716783212045,WANDER,0.55,0,0,0,0,labyrinth
38,0.76,15.093036693684049,15.0,7.85334672074425e-24,0.1550396070458523,0.0,0.0,134.55230518691036,0.0,0.0,38,15.093036693684049,15.0,7.85334672074425e-24,0.1550396070458523,WANDER,0.55,0,0,0,0,labyrinth
39,0.78,15.096164880326588,15.0,7.968203729127375e-24,0.15640933212699426,0.0,0.0,134.5496570648883,0.0,0.0,39,15.096164880326588,15.0,7.968203729127375e-24,0.15640933212699426,WANDER,0.55,0,0,0,0,labyrinth
40,0.8,15.099393863294562,15.0,8.131815138236576e-24,0.16144914839865399,0.0,0.0,134.54698556715826,0.0,0.0,40,15.099393863294562,15.0,8.131815138236576e-24,0.16144914839865399,WANDER,0.55,0,0,0,0,labyrinth
41,0.8200000000000001,15.102751894430954,15.0,8.28765500541309e-24,0.16790155681956584,0.0,0.0,134.5442280091655,0.0,0.0,41,15.102751894430954,15.0,8.28765500541309e-24,0.16790155681956584,WANDER,0.55,0,0,0,0,labyrinth
42,0.84,15.106218432565646,15.0,8.490302587522996e-24,0.17332690673460535,0.0,0.0,134.54136026602635,0.0,0.0,42,15.106218432565646,15.0,8.490302587522996e-24,0.17332690673460535,WANDER,0.55,0,0,0,0,labyrinth
43,0.86,15.10972889543279,15.0,8.683324409482681e-24,0.17552314335723554,0.0,0.0,134.53839988220955,0.0,0.0,43,15.10972889543279,15.0,8.683324409482681e-24,0.17552314335723554,WANDER,0.55,0,0,0,0,labyrinth
44,0.88,15.11318698502684,15.0,8.867177694899281e-24,0.1729044797025123,0.0,0.0,134.53540201181602,0.0,0.0,44,15.11318698502684,15.0,8.867177694899281e-24,0.1729044797025123,WANDER,0.55,0,0,0,0,labyrinth
45,0.9,15.116496467857962,15.0,9.042297949258593e-24,0.1654741415561269,0.0,0.0,134.53244889147527,0.0,0.0,45,15.116496467857962,15.0,9.042297949258593e-24,0.1654741415561269,WANDER,0.55,0,0,0,0,labyrinth
46,0.92,15.119775416225194,15.0,9.209099991535837e-24,0.16394741836159984,0.0,0.0,134.529622700057,0.0,0.0,46,15.119775416225194,15.0,9.209099991535837e-24,0.16394741836159984,WANDER,0.55,0,0,0,0,labyrinth
47,0.9400000000000001,15.123116080003546,15.0,9.367978936804912e-24,0.16703318891764382,0.0,0.0,134.52682260582287,0.0,0.0,47,15.123116080003546,15.0,9.367978936804912e-24,0.16703318891764382,WANDER,0.55,0,0,0,0,labyrinth
48,0.96,15.126570313861253,15.0,9.627731349422256e-24,0.17271169288532395,0.0,0.0,134.5239698312845,0.0,0.0,48,15.126570313861253,15.0,9.627731349422256e-24,0.17271169288532395,WANDER,0.55,0,0,0,0,labyrinth
49,0.98,15.130141938358602,15.0,9.820935413816001e-24,0.17858122486744218,0.0,0.0,134.52102009669812,0.0,0.0,49,15.130141938358602,15.0,9.820935413816001e-24,0.17858122486744218,WANDER,0.55,0,0,0,0,labyrinth
50,1.0,15.133787358975905,15.0,1.0004962285151044e-23,0.18227103086519825,0.0,0.0,134.5179701419169,0.0,0.0,50,15.133787358975905,15.0,1.0004962285151044e-23,0.18227103086519825,WANDER,0.55,0,0,0,0,labyrinth
51,1.02,15.137424337366888,15.0,1.0126037771473397e-23,0.18184891954910706,0.0,0.0,134.5148571961215,0.0,0.0,51,15.137424337366888,15.0,1.0126037771473397e-23,0.18184891954910706,WANDER,0.55,0,0,0,0,labyrinth
52,1.04,15.140947397771887,15.0,1.0241362172195438e-23,0.17615302024999768,0.0,0.0,134.51175148608434,0.0,0.0,52,15.140947397771887,15.0,1.0241362172195438e-23,0.17615302024999768,WANDER,0.55,0,0,0,0,labyrinth
53,1.06,15.144376637894847,15.0,1.0351208663883182e-23,0.17146200614798962,0.0,0.0,134.50874307895901,0.0,0.0,53,15.144376637894847,15.0,1.0351208663883182e-23,0.17146200614798962,WANDER,0.55,0,0,0,0,labyrinth
54,1.08,15.14781953226729,15.0,1.0455837447215758e-23,0.17214471862216182,0.0,0.0,134.50581481072763,0.0,0.0,54,15.14781953226729,15.0,1.0455837447215758e-23,0.17214471862216182,WANDER,0.55,0,0,0,0,labyrinth
55,1.1,15.151349633207955,15.0,1.0555496363340037e-23,0.17650504703324954,0.0,0.0,134.5028749067939,0.0,0.0,55,15.151349633207955,15.0,1.0555496363340037e-23,0.17650504703324954,WANDER,0.55,0,0,0,0,labyrinth
56,1.12,15.154995260128086,15.0,1.0650421480948412e-23,0.18228134600650553,0.0,0.0,134.49986056153978,0.0,0.0,56,15.154995260128086,15.0,1.0650421480948412e-23,0.18228134600650553,WANDER,0.55,0,0,0,0,labyrinth
57,1.1400000000000001,15.158735956703312,15.0,1.0686627546846114e-23,0.1870348287613565,0.0,0.0,134.49674759525303,0.0,0.0,57,15.158735956703312,15.0,1.0686627546846114e-23,0.1870348287613565,WANDER,0.55,0,0,0,0,labyrinth
58,1.16,15.162507330691406,15.0,1.0721113824613677e-23,0.18856869940472373,0.0,0.0,134.49355347771203,0.0,0.0,58,15.162507330691406,15.0,1.0721113824613677e-23,0.18856869940472373,WANDER,0.55,0,0,0,0,labyrinth
59,1.18,15.166213440389,15.0,1.0753962004187279e-23,0.1853054848797513,0.0,0.0,134.4903331937783,0.0,0.0,59,15.166213440389,15.0,1.0753962004187279e-23,0.1853054848797513,WANDER,0.55,0,0,0,0,labyrinth
60,1.2,15.169760964676565,15.0,1.0839460003855411e-23,0.17737621437817136,0.0,0.0,134.48716866533513,0.0,0.0,60,15.169760964676565,15.0,1.0839460003855411e-23,0.17737621437817136,WANDER,0.55,0,0,0,0,labyrinth
61,1.22,15.173268253973301,15.0,1.0920896848539307e-23,0.17536446483681967,0.0,0.0,134.4841395738156,0.0,0.0,61,15.173268253973301,15.0,1.0920896848539307e-23,0.17536446483681967,WANDER,0.55,0,0,0,0,labyrinth
62,1.24,15.176827659748156,15.0,1.1052675551724993e-23,0.17797028874276183,0.0,0.0,134.4811448622965,0.0,0.0,62,15.176827659748156,15.0,1.1052675551724993e-23,0.17797028874276183,WANDER,0.55,0,0,0,0,labyrinth
63,1.26,15.180491035149839,15.0,1.1232404875133633e-23,0.18316877008417098,0.0,0.0,134.47810567627423,0.0,0.0,63,15.180491035149839,15.0,1.1232404875133633e-23,0.18316877008417098,WANDER,0.55,0,0,0,0,labyrinth
64,1.28,15.184262179937432,15.0,1.1457807164304639e-23,0.18855723937968996,0.0,0.0,134.4749777428102,0.0,0.0,64,15.184262179937432,15.0,1.1457807164304639e-23,0.18855723937968996,WANDER,0.55,0,0,0,0,labyrinth
65,1.3,15.18809753898345,15.0,1.1672502844740021e-23,0.191767952300943,0.0,0.0,134.47175781986843,0.0,0.0,65,15.18809753898345,15.0,1.1672502844740021e-23,0.191767952300943,WANDER,0.55,0,0,0,0,labyrinth
66,1.32,15.191915035207824,15.0,1.1877000480354724e-23,0.19087481121867916,0.0,0.0,134.46848309815195,0.0,0.0,66,15.191915035207824,15.0,1.1877000480354724e-23,0.19087481121867916,WANDER,0.55,0,0,0,0,labyrinth
67,1.34,15.195609510285864,15.0,1.2017574369653453e-23,0.18472375390198464,0.0,0.0,134.4652236575797,0.0,0.0,67,15.195609510285864,15.0,1.2017574369653453e-23,0.18472375390198464,WANDER,0.55,0,0,0,0,labyrinth
68,1.36,15.199203364797263,15.0,1.2151470999210492e-23,0.17969272556990992,0.0,0.0,134.46206928243654,0.0,0.0,68,15.199203364797263,15.0,1.2151470999210492e-23,0.17969272556990992,WANDER,0.55,0,0,0,0,labyrinth
69,1.3800000000000001,15.202804160647924,15.0,1.2224797430239297e-23,0.1800397925330671,0.0,0.0,134.4590008444105,0.0,0.0,69,15.202804160647924,15.0,1.2224797430239297e-23,0.1800397925330671,WANDER,0.55,0,0,0,0,labyrinth
70,1.4000000000000001,15.206485427451536,15.0,1.2294640855794233e-23,0.18406334018058532,0.0,0.0,134.45592650596905,0.0,0.0,70,15.206485427451536,15.0,1.2294640855794233e-23,0.18406334018058532,WANDER,0.55,0,0,0,0,labyrinth
71,1.42,15.210275418620869,15.0,1.236116671863531e-23,0.18949955846660035,0.0,0.0,134.45278348891813,0.0,0.0,71,15.210275418620869,15.0,1.236116671863531e-23,0.18949955846660035,WANDER,0.55,0,0,0,0,labyrinth
72,1.44,15.214153636482074,15.0,1.2424532602991436e-23,0.19391089306020368,0.0,0.0,134.44954767297983,0.0,0.0,72,15.214153636482074,15.0,1.2424532602991436e-23,0.19391089306020368,WANDER,0.55,0,0,0,0,labyrinth
73,1.46,15.21805572948094,15.0,1.2484888607840645e-23,0.19510464994329624,0.0,0.0,134.4462365608987,0.0,0.0,73,15.21805572948094,15.0,1.2484888607840645e-23,0.19510464994329624,WANDER,0.55,0,0,0,0,labyrinth
74,1.48,15.2218859161235,15.0,1.2542377702459517e-23,0.19150933212800192,0.0,0.0,134.44290509551087,0.0,0.0,74,15.2218859161235,15.0,1.2542377702459517e-23,0.19150933212800192,WANDER,0.55,0,0,0,0,labyrinth
75,1.5,15.225552700459819,15.0,1.2597136065083992e-23,0.18333921681594503,0.0,0.0,134.43963505101974,0.0,0.0,75,15.225552700459819,15.0,1.2597136065083992e-23,0.18333921681594503,WANDER,0.55,0,0,0,0,labyrinth
76,1.52,15.229174525070826,15.0,1.2649293405483805e-23,0.1810912305504131,0.0,0.0,134.43650453993115,0.0,0.0,76,15.229174525070826,15.0,1.2649293405483805e-23,0.1810912305504131,WANDER,0.55,0,0,0,0,labyrinth
77,1.54,15.232843728007445,15.0,1.2807393489463178e-23,0.1834601468309861,0.0,0.0,134.4334124397527,0.0,0.0,77,15.232843728007445,15.0,1.2807393489463178e-23,0.1834601468309861,WANDER,0.55,0,0,0,0,labyrinth
78,1.56,15.23661209389566,15.0,1.2957983819453531e-23,0.18841829441074034,0.0,0.0,134.43027991773266,0.0,0.0,78,15.23661209389566,15.0,1.2957983819453531e-23,0.18841829441074034,WANDER,0.55,0,0,0,0,labyrinth
79,1.58,15.240483353876316,15.0,1.3101421108769342e-23,0.19356299903279164,0.0,0.0,134.42706276522958,0.0,0.0,79,15.240483353876316,15.0,1.3101421108769342e-23,0.19356299903279164,WANDER,0.55,0,0,0,0,labyrinth
80,1.6,15.244413933720692,15.0,1.3183835018218376e-23,0.19652899221881878,0.0,0.0,134.4237577991775,0.0,0.0,80,15.244413933720692,15.0,1.3183835018218376e-23,0.19652899221881878,WANDER,0.55,0,0,0,0,labyrinth
81,1.62,15.248321822543856,15.0,1.3316544375592857e-23,0.19539444115819932,0.0,0.0,134.42040222159446,0.0,0.0,81,15.248321822543856,15.0,1.3316544375592857e-23,0.19539444115819932,WANDER,0.55,0,0,0,0,labyrinth
82,1.6400000000000001,15.252102030260575,15.0,1.3388739929867775e-23,0.18901038583597835,0.0,0.0,134.41706604647516,0.0,0.0,82,15.252102030260575,15.0,1.3388739929867775e-23,0.18901038583597835,WANDER,0.55,0,0,0,0,labyrinth
83,1.6600000000000001,15.255778295182983,15.0,1.3457506195314634e-23,0.18381324612041927,0.0,0.0,134.4138389023754,0.0,0.0,83,15.255778295182983,15.0,1.3457506195314634e-23,0.18381324612041927,WANDER,0.55,0,0,0,0,labyrinth
84,1.68,15.259458184712553,15.0,1.352300606315277e-23,0.183994476478458,0.0,0.0,134.4107005213655,0.0,0.0,84,15.259458184712553,15.0,1.352300606315277e-23,0.183994476478458,WANDER,0.55,0,0,0,0,labyrinth
85,1.7,15.263215178514368,15.0,1.3585394687268592e-23,0.1878496900907825,0.0,0.0,134.40755907338593,0.0,0.0,85,15.263215178514368,15.0,1.3585394687268592e-23,0.1878496900907825,WANDER,0.55,0,0,0,0,labyrinth
86,1.72,15.267077466666853,15.0,1.3590609743114637e-23,0.19311440762426932,0.0,0.0,134.40435183122568,0.0,0.0,86,15.267077466666853,15.0,1.3590609743114637e-23,0.19311440762426932,WANDER,0.55,0,0,0,0,labyrinth
87,1.74,15.271024514513671,15.0,1.3595577083807993e-23,0.19735239234095026,0.0,0.0,134.40105473187265,0.0,0.0,87,15.271024514513671,15.0,1.3595577083807993e-23,0.19735239234095026,WANDER,0.55,0,0,0,0,labyrinth
88,1.76,15.274991990356249,15.0,1.3600308475818417e-23,0.1983737921288905,0.0,0.0,134.39768530726013,0.0,0.0,88,15.274991990356249,15.0,1.3600308475818417e-23,0.1983737921288905,WANDER,0.55,0,0,0,0,labyrinth
89,1.78,15.278884205925397,15.0,1.3659025235332622e-23,0.19461077845739827,0.0,0.0,134.3942984758387,0.0,0.0,89,15.278884205925397,15.0,1.3659025235332622e-23,0.19461077845739827,WANDER,0.55,0,0,0,0,labyrinth
90,1.8,15.282610623361593,15.0,1.37149529487699e-23,0.18632087180984605,0.0,0.0,134.39097592114388,0.0,0.0,90,15.282610623361593,15.0,1.37149529487699e-23,0.18632087180984605,WANDER,0.55,0,0,0,0,labyrinth
91,1.82,15.286289709452518,15.0,1.3768224095818908e-23,0.18395430454624978,0.0,0.0,134.38779492718552,0.0,0.0,91,15.286289709452518,15.0,1.3768224095818908e-23,0.18395430454624978,WANDER,0.55,0,0,0,0,labyrinth
92,1.84,15.290013780110133,15.0,1.3873174972007364e-23,0.18620353288071267,0.0,0.0,134.384654364342,0.0,0.0,92,15.290013780110133,15.0,1.3873174972007364e-23,0.18620353288071267,WANDER,0.55,0,0,0,0,labyrinth
93,1.86,15.293834581935931,15.0,1.3973140681576868e-23,0.1910400912899065,0.0,0.0,134.38147542934377,0.0,0.0,93,15.293834581935931,15.0,1.3973140681576868e-23,0.1910400912899065,WANDER,0.55,0,0,0,0,labyrinth
94,1.8800000000000001,15.29775582157839,15.0,1.4122568128566094e-23,0.19606198212294698,0.0,0.0,134.37821395195087,0.0,0.0,94,15.29775582157839,15.0,1.4122568128566094e-23,0.19606198212294698,WANDER,0.55,0,0,0,0,labyrinth
95,1.9000000000000001,15.301733936658188,15.0,1.4264897771823333e-23,0.1989057539899377,0.0,0.0,134.37486677041304,0.0,0.0,95,15.301733936658188,15.0,1.4264897771823333e-23,0.1989057539899377,WANDER,0.55,0,0,0,0,labyrinth
96,1.92,15.305686977075256,15.0,1.434625664840158e-23,0.19765202085339506,0.0,0.0,134.37147107156767,0.0,0.0,96,15.305686977075256,15.0,1.434625664840158e-23,0.19765202085339506,WANDER,0.55,0,0,0,0,labyrinth
97,1.94,15.30951006321438,15.0,1.4369540869718083e-23,0.1911543069561996,0.0,0.0,134.36809680798729,0.0,0.0,97,15.30951006321438,15.0,1.4369540869718083e-23,0.1911543069561996,WANDER,0.55,0,0,0,0,labyrinth
98,1.96,15.313227470541207,15.0,1.4391719090522053e-23,0.18587036634129697,0.0,0.0,134.36483350170136,0.0,0.0,98,15.313227470541207,15.0,1.4391719090522053e-23,0.18587036634129697,WANDER,0.55,0,0,0,0,labyrinth
99,1.98,15.316946768041056,15.0,1.4412843845837835e-23,0.1859648749924406,0.0,0.0,134.3616604289476,0.0,0.0,99,15.316946768041056,15.0,1.4412843845837835e-23,0.1859648749924406,WANDER,0.55,0,0,0,0,labyrinth
100,2.0,15.320741428159849,15.0,1.4378755066651842e-23,0.18973300593964648,0.0,0.0,134.35848577073327,0.0,0.0,100,15.320741428159849,15.0,1.4378755066651842e-23,0.18973300593964648,WANDER,0.55,0,0,0,0,labyrinth
101,2.02,15.32463964479944,15.0,1.4400495613101458e-23,0.19491083197951709,0.0,0.0,134.35524681450656,0.0,0.0,101,15.32463964479944,15.0,1.4400495613101458e-23,0.19491083197951709,WANDER,0.55,0,0,0,0,labyrinth
102,2.04,15.328620912441624,15.0,1.4421203483594716e-23,0.1990633821092155,0.0,0.0,134.35191949724833,0.0,0.0,102,15.328620912441624,15.0,1.4421203483594716e-23,0.1990633821092155,WANDER,0.55,0,0,0,0,labyrinth
103,2.06,15.332620959967748,15.0,1.4440927730239545e-23,0.20000237630624187,0.0,0.0,134.34852132361755,0.0,0.0,103,15.332620959967748,15.0,1.4440927730239545e-23,0.20000237630624187,WANDER,0.55,0,0,0,0,labyrinth
104,2.08,15.336544188337736,15.0,1.451392518379302e-23,0.19616141849938978,0.0,0.0,134.3451071528488,0.0,0.0,104,15.336544188337736,15.0,1.451392518379302e-23,0.19616141849938978,WANDER,0.55,0,0,0,0,labyrinth
105,2.1,15.340300278567499,15.0,1.452924514967843e-23,0.1878045114880812,0.0,0.0,134.34175858113895,0.0,0.0,105,15.340300278567499,15.0,1.452924514967843e-23,0.1878045114880812,WANDER,0.55,0,0,0,0,labyrinth
106,2.12,15.344007711465785,15.0,1.4543837417184283e-23,0.18537164491436703,0.0,0.0,134.33855269508106,0.0,0.0,106,15.344007711465785,15.0,1.4543837417184283e-23,0.18537164491436703,WANDER,0.55,0,0,0,0,labyrinth
107,2.14,15.34775882270883,15.0,1.4557736551983606e-23,0.18755556215219016,0.0,0.0,134.3353883668351,0.0,0.0,107,15.34775882270883,15.0,1.4557736551983606e-23,0.18755556215219016,WANDER,0.55,0,0,0,0,labyrinth
108,2.16,15.351605396732124,15.0,1.451676536925569e-23,0.19232870116469614,0.0,0.0,134.33218678699362,0.0,0.0,108,15.351605396732124,15.0,1.451676536925569e-23,0.19232870116469614,WANDER,0.55,0,0,0,0,labyrinth
109,2.18,15.355551202105886,15.0,1.4531950426331622e-23,0.19729026868810393,0.0,0.0,134.32890375904444,0.0,0.0,109,15.355551202105886,15.0,1.4531950426331622e-23,0.19729026868810393,WANDER,0.55,0,0,0,0,labyrinth
110,2.2,15.359552760892175,15.0,1.454641419319645e-23,0.20007793931444554,0.0,0.0,134.3255360688092,0.0,0.0,110,15.359552760892175,15.0,1.454641419319645e-23,0.20007793931444554,WANDER,0.55,0,0,0,0,labyrinth
111,2.22,15.36352822102443,15.0,1.4560190931135195e-23,0.19877300661277156,0.0,0.0,134.3221208259558,0.0,0.0,111,15.36352822102443,15.0,1.4560190931135195e-23,0.19877300661277156,WANDER,0.55,0,0,0,0,labyrinth
112,2.24,15.367372800576284,15.0,1.4573313274021852e-23,0.19222897759274105,0.0,0.0,134.31872788979155,0.0,0.0,112,15.367372800576284,15.0,1.4573313274021852e-23,0.19222897759274105,WANDER,0.55,0,0,0,0,labyrinth
113,2.2600000000000002,15.371110611480038,15.0,1.4585812305621392e-23,0.18689054518767226,0.0,0.0,134.31544668667883,0.0,0.0,113,15.371110611480038,15.0,1.4585812305621392e-23,0.18689054518767226,WANDER,0.55,0,0,0,0,labyrinth
114,2.2800000000000002,15.374849257299221,15.0,1.4597717633219955e-23,0.186932290959136,0.0,0.0,134.31225663522127,0.0,0.0,114,15.374849257299221,15.0,1.4597717633219955e-23,0.186932290959136,WANDER,0.55,0,0,0,0,labyrinth
