step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,hs_rate,drum_vel,saccade_shunt,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
30,0.6,45.06069359903676,45.0,7.319528791024595e-23,0.1093572713398104,0.0,0.0,76.0,30.0,0.0,30,45.06069359903676,45.0,7.319528791024595e-23,0.1093572713398104,WANDER,0.55,0,0,0,0,optomotor
31,0.62,45.06280210204387,45.0,7.597987685880858e-23,0.10542515035545391,0.0,0.0,76.0,30.0,0.0,31,45.06280210204387,45.0,7.597987685880858e-23,0.10542515035545391,WANDER,0.55,0,0,0,0,optomotor
32,0.64,45.064855042824966,45.0,7.889326185698774e-23,0.1026470390550514,0.0,0.0,76.0,30.0,0.0,32,45.064855042824966,45.0,7.889326185698774e-23,0.1026470390550514,WANDER,0.55,0,0,0,0,optomotor
33,0.66,45.06691049048752,45.0,8.166894716444066e-23,0.10277238312781133,0.0,0.0,76.0,30.0,0.0,33,45.06691049048752,45.0,8.166894716444066e-23,0.10277238312781133,WANDER,0.55,0,0,0,0,optomotor
34,0.68,45.06901538057169,45.0,8.431347351647684e-23,0.10524450420849163,0.0,0.0,76.0,30.0,0.0,34,45.06901538057169,45.0,8.431347351647684e-23,0.10524450420849163,WANDER,0.55,0,0,0,0,optomotor
35,0.7000000000000001,45.07120179141365,45.0,8.683307096347857e-23,0.10932054209806402,0.0,0.0,76.0,30.0,0.0,35,45.07120179141365,45.0,8.683307096347857e-23,0.10932054209806402,WANDER,0.55,0,0,0,0,optomotor
36,0.72,45.073484532503166,45.0,8.923367362843501e-23,0.114137054475821,0.0,0.0,76.0,30.0,0.0,36,45.073484532503166,45.0,8.923367362843501e-23,0.114137054475821,WANDER,0.55,0,0,0,0,optomotor
37,0.74,45.07586026237982,45.0,9.178133913534675e-23,0.1187864938326362,0.0,0.0,76.0,30.0,0.0,37,45.07586026237982,45.0,9.178133913534675e-23,0.1187864938326362,WANDER,0.55,0,0,0,0,optomotor
38,0.76,45.0783082162246,45.0,9.394829869938148e-23,0.12239769223908242,0.0,0.0,76.0,30.0,0.0,38,45.0783082162246,45.0,9.394829869938148e-23,0.12239769223908242,WANDER,0.55,0,0,0,0,optomotor
39,0.78,45.080792478720284,45.0,9.62734191526653e-23,0.12421312478428326,0.0,0.0,76.0,30.0,0.0,39,45.080792478720284,45.0,9.62734191526653e-23,0.12421312478428326,WANDER,0.55,0,0,0,0,optomotor
40,0.8,45.08326559895774,45.0,9.822840455311945e-23,0.12365601187268878,0.0,0.0,76.0,30.0,0.0,40,45.08326559895774,45.0,9.822840455311945e-23,0.12365601187268878,WANDER,0.55,0,0,0,0,optomotor
41,0.8200000000000001,45.08567322361903,45.0,9.983080887188584e-23,0.12038123306468687,0.0,0.0,76.0,30.0,0.0,41,45.08567322361903,45.0,9.983080887188584e-23,0.12038123306468687,WANDER,0.55,0,0,0,0,optomotor
