step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,drum_angle,laser_active,yaw_torque,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
28,0.56,40.056296984698996,40.0,6.693133931575162e-23,0.10900346251464704,0.0,0.0,0.0,0.0,1.8406307619074578e-22,28,40.056296984698996,40.0,6.693133931575162e-23,0.10900346251464704,WANDER,0.55,0,0,0,0,visual_operant
29,0.58,40.058506453609965,40.0,7.027252644489914e-23,0.11047344554841908,0.0,0.0,0.0,0.0,1.7535438490604914e-22,29,40.058506453609965,40.0,7.027252644489914e-23,0.11047344554841908,WANDER,0.55,0,0,0,0,visual_operant
30,0.6,40.06069359903676,40.0,7.319528791024595e-23,0.1093572713398104,0.0,0.0,0.0,0.0,1.670593564573756e-22,30,40.06069359903676,40.0,7.319528791024595e-23,0.1093572713398104,WANDER,0.55,0,0,0,0,visual_operant
31,0.62,40.06280210204387,40.0,7.597987685880858e-23,0.10542515035545391,0.0,0.0,0.0,0.0,1.4613807326734089e-22,31,40.06280210204387,40.0,7.597987685880858e-23,0.10542515035545391,WANDER,0.55,0,0,0,0,visual_operant
32,0.64,40.064855042824966,40.0,7.889326185698774e-23,0.1026470390550514,0.0,0.0,0.0,0.0,1.3922944742813144e-22,32,40.064855042824966,40.0,7.889326185698774e-23,0.1026470390550514,WANDER,0.55,0,0,0,0,visual_operant
33,0.66,40.06691049048752,40.0,8.166894716444066e-23,0.10277238312781133,0.0,0.0,0.0,0.0,1.456692499089576e-22,33,40.06691049048752,40.0,8.166894716444066e-23,0.10277238312781133,WANDER,0.55,0,0,0,0,visual_operant
34,0.68,40.06901538057169,40.0,8.431347351647684e-23,0.10524450420849163,0.0,0.0,0.0,0.0,1.3878426537264592e-22,34,40.06901538057169,40.0,8.431347351647684e-23,0.10524450420849163,WANDER,0.55,0,0,0,0,visual_operant
35,0.7000000000000001,40.07120179141365,40.0,8.683307096347857e-23,0.10932054209806402,0.0,0.0,0.0,0.0,1.3222631760180904e-22,35,40.07120179141365,40.0,8.683307096347857e-23,0.10932054209806402,WANDER,0.55,0,0,0,0,visual_operant
36,0.72,40.073484532503166,40.0,8.923367362843501e-23,0.114137054475821,0.0,0.0,0.0,0.0,1.259798723500869e-22,36,40.073484532503166,40.0,8.923367362843501e-23,0.114137054475821,WANDER,0.55,0,0,0,0,visual_operant
37,0.74,40.07586026237982,40.0,9.178133913534675e-23,0.1187864938326362,0.0,0.0,0.0,0.0,1.2003013324782159e-22,37,40.07586026237982,40.0,9.178133913534675e-23,0.1187864938326362,WANDER,0.55,0,0,0,0,visual_operant
38,0.76,40.0783082162246,40.0,9.394829869938148e-23,0.12239769223908242,0.0,0.0,0.0,0.0,1.2738327534558702e-22,38,40.0783082162246,40.0,9.394829869938148e-23,0.12239769223908242,WANDER,0.55,0,0,0,0,visual_operant
39,0.78,40.080792478720284,40.0,9.62734191526653e-23,0.12421312478428326,0.0,0.0,0.0,0.0,1.0834797820173683e-22,39,40.080792478720284,40.0,9.62734191526653e-23,0.12421312478428326,WANDER,0.55,0,0,0,0,visual_operant
40,0.8,40.08326559895774,40.0,9.822840455311945e-23,0.12365601187268878,0.0,0.0,0.0,0.0,1.1625602266419127e-22,40,40.08326559895774,40.0,9.822840455311945e-23,0.12365601187268878,WANDER,0.55,0,0,0,0,visual_operant
41,0.8200000000000001,40.08567322361903,40.0,9.983080887188584e-23,0.12038123306468687,0.0,0.0,0.0,0.0,9.774927002270739e-23,41,40.08567322361903,40.0,9.983080887188584e-23,0.12038123306468687,WANDER,0.55,0,0,0,0,visual_operant
42,0.84,40.08798567714497,40.0,1.0187856838203753e-22,0.11562267629693412,0.0,0.0,0.0,0.0,8.012021593831944e-23,42,40.08798567714497,40.0,1.0187856838203753e-22,0.11562267629693412,WANDER,0.55,0,0,0,0,visual_operant
43,0.86,40.090265026284754,40.0,1.0409017822786525e-22,0.1139674569891342,0.0,0.0,0.0,0.0,1.023879755075848e-22,43,40.090265026284754,40.0,1.0409017822786525e-22,0.1139674569891342,WANDER,0.55,0,0,0,0,visual_operant
44,0.88,40.09256417337736,40.0,1.0645788296229188e-22,0.11495735463031481,0.0,0.0,0.0,0.0,1.1058049229138602e-22,44,40.09256417337736,40.0,1.0645788296229188e-22,0.11495735463031481,WANDER,0.55,0,0,0,0,visual_operant
45,0.9,40.09492265221673,40.0,1.08713890150123e-22,0.11792394196861614,0.0,0.0,0.0,0.0,1.1838523672133123e-22,45,40.09492265221673,40.0,1.08713890150123e-22,0.11792394196861614,WANDER,0.55,0,0,0,0,visual_operant
46,0.92,40.09736359975121,40.0,1.1086350542482187e-22,0.12204737672401511,0.0,0.0,0.0,0.0,1.1280035939155545e-22,46,40.09736359975121,40.0,1.1086350542482187e-22,0.12204737672401511,WANDER,0.55,0,0,0,0,visual_operant
47,0.9400000000000001,40.099892176645646,40.0,1.129117824022623e-22,0.12642884472154078,0.0,0.0,0.0,0.0,1.0748076373494403e-22,47,40.099892176645646,40.0,1.129117824022623e-22,0.12642884472154078,WANDER,0.55,0,0,0,0,visual_operant
48,0.96,40.102495579585984,40.0,1.1486353465156407e-22,0.130170147016787,0.0,0.0,0.0,0.0,1.0241384887202165e-22,48,40.102495579585984,40.0,1.1486353465156407e-22,0.130170147016787,WANDER,0.55,0,0,0,0,visual_operant
49,0.98,40.10514464523022,40.0,1.164629417254603e-22,0.13245328221173489,0.0,0.0,0.0,0.0,9.758761246508809e-23,49,40.10514464523022,40.0,1.164629417254603e-22,0.13245328221173489,WANDER,0.55,0,0,0,0,visual_operant
50,1.0,40.10779690274417,40.0,1.179871179477687e-22,0.13261287569771993,0.0,0.0,0.0,0.0,7.997035369481071e-23,50,40.10779690274417,40.0,1.179871179477687e-22,0.13261287569771993,WANDER,0.55,0,0,0,0,visual_operant
51,1.02,40.11040080174348,40.0,1.1943963678393971e-22,0.1301949499656576,0.0,0.0,0.0,0.0,7.62088111154201e-23,51,40.11040080174348,40.0,1.1943963678393971e-22,0.1301949499656576,WANDER,0.55,0,0,0,0,visual_operant
52,1.04,40.112900736877634,40.0,1.2108430733166832e-22,0.12499675670780629,0.0,0.0,0.0,0.0,7.262594180855055e-23,52,40.112900736877634,40.0,1.2108430733166832e-22,0.12499675670780629,WANDER,0.55,0,0,0,0,visual_operant
53,1.06,40.11533393114265,40.0,1.2291202982852303e-22,0.12165971325088959,0.0,0.0,0.0,0.0,8.223352738643045e-23,53,40.11533393114265,40.0,1.2291202982852303e-22,0.12165971325088959,WANDER,0.55,0,0,0,0,visual_operant
54,1.08,40.11775824705804,40.0,1.2465373137893438e-22,0.1212157957695753,0.0,0.0,0.0,0.0,9.138612484273561e-23,54,40.11775824705804,40.0,1.2465373137893438e-22,0.1212157957695753,WANDER,0.55,0,0,0,0,visual_operant
55,1.1,40.12021990869775,40.0,1.2631349797785843e-22,0.12308308198546487,0.0,0.0,0.0,0.0,8.708507752056768e-23,55,40.12021990869775,40.0,1.2631349797785843e-22,0.12308308198546487,WANDER,0.55,0,0,0,0,visual_operant
56,1.12,40.12274991066272,40.0,1.2763481616363736e-22,0.12650009824854488,0.0,0.0,0.0,0.0,8.298832994620272e-23,56,40.12274991066272,40.0,1.2763481616363736e-22,0.12650009824854488,WANDER,0.55,0,0,0,0,visual_operant
57,1.1400000000000001,40.12536176938255,40.0,1.2889414016388156e-22,0.1305929359915646,0.0,0.0,0.0,0.0,6.606590928894695e-23,57,40.12536176938255,40.0,1.2889414016388156e-22,0.1305929359915646,WANDER,0.55,0,0,0,0,visual_operant
58,1.16,40.12805081979847,40.0,1.2983400933055044e-22,0.13445252079593317,0.0,0.0,0.0,0.0,6.296620001220943e-23,58,40.12805081979847,40.0,1.2983400933055044e-22,0.13445252079593317,WANDER,0.55,0,0,0,0,visual_operant
59,1.18,40.13079512166329,40.0,1.3099038106807827e-22,0.13721509324116593,0.0,0.0,0.0,0.0,4.699345833344378e-23,59,40.13079512166329,40.0,1.3099038106807827e-22,0.13721509324116593,WANDER,0.55,0,0,0,0,visual_operant
60,1.2,40.13355789511182,40.0,1.3209259357636328e-22,0.1381386724265947,0.0,0.0,0.0,0.0,5.781858687639125e-23,60,40.13355789511182,40.0,1.3209259357636328e-22,0.1381386724265947,WANDER,0.55,0,0,0,0,visual_operant
61,1.22,40.13629126778971,40.0,1.3262240867508757e-22,0.136668633894506,0.0,0.0,0.0,0.0,5.511062541425012e-23,61,40.13629126778971,40.0,1.3262240867508757e-22,0.136668633894506,WANDER,0.55,0,0,0,0,visual_operant
62,1.24,40.138940998014654,40.0,1.333881764690307e-22,0.13248651124710067,0.0,0.0,0.0,0.0,2.64907549362144e-23,62,40.138940998014654,40.0,1.333881764690307e-22,0.13248651124710067,WANDER,0.55,0,0,0,0,visual_operant
63,1.26,40.141491229999154,40.0,1.3411831127718377e-22,0.1275115992251165,0.0,0.0,0.0,0.0,3.828838969715572e-23,63,40.141491229999154,40.0,1.3411831127718377e-22,0.1275115992251165,WANDER,0.55,0,0,0,0,visual_operant
64,1.28,40.14400376760703,40.0,1.3455410029451838e-22,0.12562688039405667,0.0,0.0,0.0,0.0,3.650674040765373e-23,64,40.14400376760703,40.0,1.3455410029451838e-22,0.12562688039405667,WANDER,0.55,0,0,0,0,visual_operant
65,1.3,40.146530713478384,40.0,1.3496990287408436e-22,0.1263472935676991,0.0,0.0,0.0,0.0,2.1789450866729937e-23,65,40.146530713478384,40.0,1.3496990287408436e-22,0.1263472935676991,WANDER,0.55,0,0,0,0,visual_operant
