step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,wind_speed,odor_conc,source_reached,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
21,0.42,20.07242810353522,30.0,7.492793843923603e-25,0.2633992426982006,0.0,0.0,25.0,0.5274340951586082,0.0,21,20.07242810353522,30.0,7.492793843923603e-25,0.2633992426982006,SURGE,0.55,0,0,0,0,wind_tunnel
22,0.44,20.077745190753173,30.0,7.678987222579984e-25,0.26585436089760256,0.0,0.0,25.0,0.5274452093350055,0.0,22,20.077745190753173,30.0,7.678987222579984e-25,0.26585436089760256,SURGE,0.55,0,0,0,0,wind_tunnel
23,0.46,20.08340648767325,30.0,7.314235329507435e-25,0.2830648460038525,0.0,0.0,25.0,0.5274564273430222,0.0,23,20.08340648767325,30.0,7.314235329507435e-25,0.2830648460038525,SURGE,0.55,0,0,0,0,wind_tunnel
24,0.48,20.089270711098134,30.0,6.966809151355832e-25,0.29321117124412005,0.0,0.0,25.0,0.5274683718280546,0.0,24,20.089270711098134,30.0,6.966809151355832e-25,0.29321117124412005,SURGE,0.55,0,0,0,0,wind_tunnel
25,0.5,20.094871044468896,30.0,7.7200878891519345e-25,0.2800166685381347,0.0,0.0,25.0,0.527480744742697,0.0,25,20.094871044468896,30.0,7.7200878891519345e-25,0.2800166685381347,SURGE,0.55,0,0,0,0,wind_tunnel
26,0.52,20.10067704770418,30.0,8.437585886902721e-25,0.29030016176435963,0.0,0.0,25.0,0.527492561147117,0.0,26,20.10067704770418,30.0,8.437585886902721e-25,0.29030016176435963,SURGE,0.55,0,0,0,0,wind_tunnel
27,0.54,20.106805259420813,30.0,9.121002729760346e-25,0.3064105858316055,0.0,0.0,25.0,0.5275048117834373,0.0,27,20.106805259420813,30.0,9.121002729760346e-25,0.3064105858316055,SURGE,0.55,0,0,0,0,wind_tunnel
28,0.56,20.112943863292614,30.0,9.22985618633948e-25,0.3069301935900042,0.0,0.0,25.0,0.5275177425865947,0.0,28,20.112943863292614,30.0,9.22985618633948e-25,0.3069301935900042,SURGE,0.55,0,0,0,0,wind_tunnel
29,0.58,20.119024895974476,30.0,9.333539103731107e-25,0.30405163409318897,0.0,0.0,25.0,0.5275306956354497,0.0,29,20.119024895974476,30.0,9.333539103731107e-25,0.30405163409318897,SURGE,0.55,0,0,0,0,wind_tunnel
30,0.6,20.125397209756336,30.0,9.43229708254663e-25,0.31861568909296156,0.0,0.0,25.0,0.5275435275171145,0.0,30,20.125397209756336,30.0,9.43229708254663e-25,0.31861568909296156,SURGE,0.55,0,0,0,0,wind_tunnel
31,0.62,20.13198430020576,30.0,9.526364057368418e-25,0.32935452247118807,0.0,0.0,25.0,0.5275569743800528,0.0,31,20.13198430020576,30.0,9.526364057368418e-25,0.32935452247118807,SURGE,0.55,0,0,0,0,wind_tunnel
32,0.64,20.1383494195257,30.0,8.531760678400665e-25,0.31825596599684436,0.0,0.0,25.0,0.5275708748252089,0.0,32,20.1383494195257,30.0,8.531760678400665e-25,0.31825596599684436,SURGE,0.55,0,0,0,0,wind_tunnel
33,0.66,20.14483472945716,30.0,7.584400959933881e-25,0.32426549657306847,0.0,0.0,25.0,0.5275843072024774,0.0,33,20.14483472945716,30.0,7.584400959933881e-25,0.32426549657306847,SURGE,0.55,0,0,0,0,wind_tunnel
34,0.68,20.15162102831839,30.0,6.682040828094269e-25,0.33931494306160004,0.0,0.0,25.0,0.5275979935709861,0.0,34,20.15162102831839,30.0,6.682040828094269e-25,0.33931494306160004,SURGE,0.55,0,0,0,0,wind_tunnel
35,0.7000000000000001,20.15845108817073,30.0,5.822542802517039e-25,0.3415029926169144,0.0,0.0,25.0,0.5276123155160231,0.0,35,20.15845108817073,30.0,5.822542802517039e-25,0.3415029926169144,SURGE,0.55,0,0,0,0,wind_tunnel
36,0.72,20.16512151712269,30.0,5.003870933154727e-25,0.33352144759794955,0.0,0.0,25.0,0.5276267302077038,0.0,36,20.16512151712269,30.0,5.003870933154727e-25,0.33352144759794955,SURGE,0.55,0,0,0,0,wind_tunnel
37,0.74,20.172029244040974,30.0,4.224085977587125e-25,0.3453863459142827,0.0,0.0,25.0,0.5276408083819859,0.0,37,20.172029244040974,30.0,4.224085977587125e-25,0.3453863459142827,SURGE,0.55,0,0,0,0,wind_tunnel
38,0.76,20.179163590517103,30.0,3.481340807408984e-25,0.3567173238063807,0.0,0.0,25.0,0.5276553877778669,0.0,38,20.179163590517103,30.0,3.481340807408984e-25,0.3567173238063807,SURGE,0.55,0,0,0,0,wind_tunnel
39,0.78,20.18612461319478,30.0,3.858078205299809e-25,0.34805113388388964,0.0,0.0,25.0,0.5276704458981513,0.0,39,20.18612461319478,30.0,3.858078205299809e-25,0.34805113388388964,SURGE,0.55,0,0,0,0,wind_tunnel
40,0.8,20.193121534291826,30.0,4.216920576790819e-25,0.34984605485220116,0.0,0.0,25.0,0.5276851386064637,0.0,40,20.193121534291826,30.0,4.216920576790819e-25,0.34984605485220116,SURGE,0.55,0,0,0,0,wind_tunnel
41,0.8200000000000001,20.20039642181619,30.0,3.474515763150503e-25,0.3637443762181718,0.0,0.0,25.0,0.527699907498252,0.0,41,20.20039642181619,30.0,3.474515763150503e-25,0.3637443762181718,SURGE,0.55,0,0,0,0,wind_tunnel
42,0.84,20.20775056038288,30.0,2.7673751781581014e-25,0.367706928334436,0.0,0.0,25.0,0.5277152635515727,0.0,42,20.20775056038288,30.0,2.7673751781581014e-25,0.367706928334436,SURGE,0.55,0,0,0,0,wind_tunnel
43,0.86,20.214848210654804,30.0,3.1780259434383433e-25,0.35488251359624634,0.0,0.0,25.0,0.5277307873445874,0.0,43,20.214848210654804,30.0,3.1780259434383433e-25,0.35488251359624634,SURGE,0.55,0,0,0,0,wind_tunnel
44,0.88,20.22212799745224,30.0,4.653372969853278e-25,0.3639893398718252,0.0,0.0,25.0,0.5277457701515371,0.0,44,20.22212799745224,30.0,4.653372969853278e-25,0.3639893398718252,SURGE,0.55,0,0,0,0,wind_tunnel
45,0.9,20.22964512141447,30.0,6.058641012513504e-25,0.37585619811155907,0.0,0.0,25.0,0.5277611378820435,0.0,45,20.22964512141447,30.0,6.058641012513504e-25,0.37585619811155907,SURGE,0.55,0,0,0,0,wind_tunnel
46,0.92,20.237042640782697,30.0,6.312956650661864e-25,0.36987596841127374,0.0,0.0,25.0,0.5277770071042077,0.0,46,20.237042640782697,30.0,6.312956650661864e-25,0.36987596841127374,SURGE,0.55,0,0,0,0,wind_tunnel
47,0.9400000000000001,20.24439343346177,30.0,7.639394468483682e-25,0.36753963395358746,0.0,0.0,25.0,0.5277926242977922,0.0,47,20.24439343346177,30.0,7.639394468483682e-25,0.36753963395358746,SURGE,0.55,0,0,0,0,wind_tunnel
48,0.96,20.251996919097216,30.0,8.902826489958962e-25,0.38017428177231816,0.0,0.0,25.0,0.5278081433025801,0.0,48,20.251996919097216,30.0,8.902826489958962e-25,0.38017428177231816,SURGE,0.55,0,0,0,0,wind_tunnel
49,0.98,20.259715932745276,30.0,1.0106245490414168e-24,0.3859506824030047,0.0,0.0,25.0,0.5278241962732394,0.0,49,20.259715932745276,30.0,1.0106245490414168e-24,0.3859506824030047,SURGE,0.55,0,0,0,0,wind_tunnel
50,1.0,20.267087590779173,30.0,1.0168299915862247e-24,0.3685829016948696,0.0,0.0,25.0,0.5278404936535368,0.0,50,20.267087590779173,30.0,1.0168299915862247e-24,0.3685829016948696,SURGE,0.55,0,0,0,0,wind_tunnel
51,1.02,20.274585209067755,30.0,1.1311608928587047e-24,0.3748809144290415,0.0,0.0,25.0,0.5278560581214701,0.0,51,20.274585209067755,30.0,1.1311608928587047e-24,0.3748809144290415,SURGE,0.55,0,0,0,0,wind_tunnel
52,1.04,20.28232891316028,30.0,1.2400610763207419e-24,0.3871852046263766,0.0,0.0,25.0,0.5278718890117973,0.0,52,20.28232891316028,30.0,1.2400610763207419e-24,0.3871852046263766,SURGE,0.55,0,0,0,0,wind_tunnel
53,1.06,20.290010312251063,30.0,1.2353682838197819e-24,0.3840699545390105,0.0,0.0,25.0,0.5278882399998596,0.0,53,20.290010312251063,30.0,1.2353682838197819e-24,0.3840699545390105,SURGE,0.55,0,0,0,0,wind_tunnel
54,1.08,20.297564714367052,30.0,1.2308983989626174e-24,0.3777201057994901,0.0,0.0,25.0,0.5279044599300288,0.0,54,20.297564714367052,30.0,1.2308983989626174e-24,0.3777201057994901,SURGE,0.55,0,0,0,0,wind_tunnel
55,1.1,20.305344095958503,30.0,1.2266408336361682e-24,0.38896907957247917,0.0,0.0,25.0,0.5279204121813236,0.0,55,20.305344095958503,30.0,1.2266408336361682e-24,0.38896907957247917,SURGE,0.55,0,0,0,0,wind_tunnel
56,1.12,20.313274936166085,30.0,1.3310057199112759e-24,0.3965420103791274,0.0,0.0,25.0,0.5279368400142641,0.0,56,20.313274936166085,30.0,1.3310057199112759e-24,0.3965420103791274,SURGE,0.55,0,0,0,0,wind_tunnel
57,1.1400000000000001,20.320923336505064,30.0,1.430413274088316e-24,0.3824200169489263,0.0,0.0,25.0,0.5279535882107886,0.0,57,20.320923336505064,30.0,1.430413274088316e-24,0.3824200169489263,SURGE,0.55,0,0,0,0,wind_tunnel
58,1.16,20.32863417980971,30.0,1.4166787521933962e-24,0.3855421652323068,0.0,0.0,25.0,0.5279697404594773,0.0,58,20.32863417980971,30.0,1.4166787521933962e-24,0.3855421652323068,SURGE,0.55,0,0,0,0,wind_tunnel
59,1.18,20.336590863042336,30.0,1.2951764028399345e-24,0.3978341616311727,0.0,0.0,25.0,0.5279860250783653,0.0,59,20.336590863042336,30.0,1.2951764028399345e-24,0.3978341616311727,SURGE,0.55,0,0,0,0,wind_tunnel
60,1.2,20.344538639969354,30.0,1.1794454150807624e-24,0.3973888463508562,0.0,0.0,25.0,0.5280028294159888,0.0,60,20.344538639969354,30.0,1.1794454150807624e-24,0.3973888463508562,SURGE,0.55,0,0,0,0,wind_tunnel
61,1.22,20.352276488727632,30.0,1.069211649240151e-24,0.3868924379138641,0.0,0.0,25.0,0.5280196154776312,0.0,61,20.352276488727632,30.0,1.069211649240151e-24,0.3868924379138641,SURGE,0.55,0,0,0,0,wind_tunnel
62,1.24,20.36020360156095,30.0,1.072634204525519e-24,0.39635564166598103,0.0,0.0,25.0,0.5280359586742561,0.0,62,20.36020360156095,30.0,1.072634204525519e-24,0.39635564166598103,SURGE,0.55,0,0,0,0,wind_tunnel
63,1.26,20.368311461585936,30.0,8.590537539377312e-25,0.4053930012492526,0.0,0.0,25.0,0.5280527021422073,0.0,63,20.368311461585936,30.0,8.590537539377312e-25,0.4053930012492526,SURGE,0.55,0,0,0,0,wind_tunnel
64,1.28,20.376202189702774,30.0,7.640385920014137e-25,0.3945364058418322,0.0,0.0,25.0,0.528069827929492,0.0,64,20.376202189702774,30.0,7.640385920014137e-25,0.3945364058418322,SURGE,0.55,0,0,0,0,wind_tunnel
65,1.3,20.384086979494214,30.0,7.819568675056217e-25,0.39423948957203636,0.0,0.0,25.0,0.5280864956142864,0.0,65,20.384086979494214,30.0,7.819568675056217e-25,0.39423948957203636,SURGE,0.55,0,0,0,0,wind_tunnel
66,1.32,20.392209781621727,30.0,6.9060380767482935e-25,0.4061401063756144,0.0,0.0,25.0,0.5281031512809764,0.0,66,20.392209781621727,30.0,6.9060380767482935e-25,0.4061401063756144,SURGE,0.55,0,0,0,0,wind_tunnel
67,1.34,20.400373678634423,30.0,7.1201023543455015e-25,0.4081948506347936,0.0,0.0,25.0,0.5281203102693361,0.0,67,20.400373678634423,30.0,7.1201023543455015e-25,0.4081948506347936,SURGE,0.55,0,0,0,0,wind_tunnel
68,1.36,20.408244648222286,30.0,8.408200751242347e-25,0.3935484793930879,0.0,0.0,25.0,0.528137556630223,0.0,68,20.408244648222286,30.0,8.408200751242347e-25,0.3935484793930879,SURGE,0.55,0,0,0,0,wind_tunnel
69,1.3800000000000001,20.41626295496644,30.0,1.0719316646772096e-24,0.4009153372078089,0.0,0.0,25.0,0.5281541847105656,0.0,69,20.41626295496644,30.0,1.0719316646772096e-24,0.4009153372078089,SURGE,0.55,0,0,0,0,wind_tunnel
70,1.4000000000000001,20.42448536547779,30.0,1.2920654537264182e-24,0.4111205255674235,0.0,0.0,25.0,0.5281711245912674,0.0,70,20.42448536547779,30.0,1.2920654537264182e-24,0.4111205255674235,SURGE,0.55,0,0,0,0,wind_tunnel
71,1.42,20.432556433500423,30.0,1.6101631050443398e-24,0.4035534011316242,0.0,0.0,25.0,0.5281884962361659,0.0,71,20.432556433500423,30.0,1.6101631050443398e-24,0.4035534011316242,SURGE,0.55,0,0,0,0,wind_tunnel
72,1.44,20.440550465144455,30.0,2.021571335173211e-24,0.3997015822015222,0.0,0.0,25.0,0.5282055486925551,0.0,72,20.440550465144455,30.0,2.021571335173211e-24,0.3997015822015222,SURGE,0.55,0,0,0,0,wind_tunnel
73,1.46,20.448768243991438,30.0,2.4134376743709603e-24,0.4108889423490958,0.0,0.0,25.0,0.528222438930079,0.0,73,20.448768243991438,30.0,2.4134376743709603e-24,0.4108889423490958,SURGE,0.55,0,0,0,0,wind_tunnel
74,1.48,20.457073907656515,30.0,2.895110579705367e-24,0.41528318325382724,0.0,0.0,25.0,0.5282398024761976,0.0,74,20.457073907656515,30.0,2.895110579705367e-24,0.41528318325382724,SURGE,0.55,0,0,0,0,wind_tunnel
75,1.5,20.465005816456664,30.0,3.3539040220363896e-24,0.3965954400074052,0.0,0.0,25.0,0.5282573522962573,0.0,75,20.465005816456664,30.0,3.3539040220363896e-24,0.3965954400074052,SURGE,0.55,0,0,0,0,wind_tunnel
76,1.52,20.473038474227014,30.0,3.790904775856689e-24,0.40163288851751305,0.0,0.0,25.0,0.528274112918709,0.0,76,20.473038474227014,30.0,3.790904775856689e-24,0.40163288851751305,SURGE,0.55,0,0,0,0,wind_tunnel
77,1.54,20.481293141024633,30.0,4.207147993870523e-24,0.412733339880867,0.0,0.0,25.0,0.5282910869720332,0.0,77,20.481293141024633,30.0,4.207147993870523e-24,0.412733339880867,SURGE,0.55,0,0,0,0,wind_tunnel
78,1.56,20.489462509498775,30.0,4.603619659028701e-24,0.4084684237070487,0.0,0.0,25.0,0.5283085307275968,0.0,78,20.489462509498775,30.0,4.603619659028701e-24,0.4084684237070487,SURGE,0.55,0,0,0,0,wind_tunnel
79,1.58,20.497482922375873,30.0,5.089679137340415e-24,0.4010206438549667,0.0,0.0,25.0,0.5283257947978905,0.0,79,20.497482922375873,30.0,5.089679137340415e-24,0.4010206438549667,SURGE,0.55,0,0,0,0,wind_tunnel
80,1.6,20.505707344244183,30.0,5.552650790432324e-24,0.4112210934154593,0.0,0.0,25.0,0.52834274463381,0.0,80,20.505707344244183,30.0,5.552650790432324e-24,0.4112210934154593,SURGE,0.55,0,0,0,0,wind_tunnel
81,1.62,20.514063197916165,30.0,5.8852110727538156e-24,0.4177926835991733,0.0,0.0,25.0,0.5283601261742065,0.0,81,20.514063197916165,30.0,5.8852110727538156e-24,0.4177926835991733,SURGE,0.55,0,0,0,0,wind_tunnel
82,1.6400000000000001,20.522117486113647,30.0,6.3103949589135874e-24,0.4027144098740701,0.0,0.0,25.0,0.5283777860689335,0.0,82,20.522117486113647,30.0,6.3103949589135874e-24,0.4027144098740701,SURGE,0.55,0,0,0,0,wind_tunnel
83,1.6600000000000001,20.530215952323164,30.0,6.71538261048077e-24,0.4049233104758192,0.0,0.0,25.0,0.5283948091710146,0.0,83,20.530215952323164,30.0,6.71538261048077e-24,0.4049233104758192,SURGE,0.55,0,0,0,0,wind_tunnel
84,1.68,20.53854281542994,30.0,6.992713131349961e-24,0.41634315533872696,0.0,0.0,25.0,0.5284119261982858,0.0,84,20.53854281542994,30.0,6.992713131349961e-24,0.41634315533872696,SURGE,0.55,0,0,0,0,wind_tunnel
85,1.7,20.54684411413677,30.0,7.148450235229315e-24,0.4150649353415705,0.0,0.0,25.0,0.5284295265464893,0.0,85,20.54684411413677,30.0,7.148450235229315e-24,0.4150649353415705,SURGE,0.55,0,0,0,0,wind_tunnel
86,1.72,20.55491957619477,30.0,7.2967898266744e-24,0.40377310289999635,0.0,0.0,25.0,0.5284470734431932,0.0,86,20.55491957619477,30.0,7.2967898266744e-24,0.40377310289999635,SURGE,0.55,0,0,0,0,wind_tunnel
87,1.74,20.563169109729326,30.0,7.329663070277292e-24,0.41247667672773747,0.0,0.0,25.0,0.5284641435360545,0.0,87,20.563169109729326,30.0,7.329663070277292e-24,0.41247667672773747,SURGE,0.55,0,0,0,0,wind_tunnel
88,1.76,20.57158488152399,30.0,7.469395052057599e-24,0.42078858973322997,0.0,0.0,25.0,0.5284815821544696,0.0,88,20.57158488152399,30.0,7.469395052057599e-24,0.42078858973322997,SURGE,0.55,0,0,0,0,wind_tunnel
89,1.78,20.57976966538087,30.0,7.60248976470334e-24,0.40923919284403054,0.0,0.0,25.0,0.5284993727754839,0.0,89,20.57976966538087,30.0,7.60248976470334e-24,0.40923919284403054,SURGE,0.55,0,0,0,0,wind_tunnel
90,1.8,20.587935278404053,30.0,7.729262478498408e-24,0.40828065115913587,0.0,0.0,25.0,0.5285166756712619,0.0,90,20.587935278404053,30.0,7.729262478498408e-24,0.40828065115913587,SURGE,0.55,0,0,0,0,wind_tunnel
91,1.82,20.59632626671788,30.0,7.85001348838821e-24,0.41954941569129445,0.0,0.0,25.0,0.5285339386037845,0.0,91,20.59632626671788,30.0,7.85001348838821e-24,0.41954941569129445,SURGE,0.55,0,0,0,0,wind_tunnel
92,1.84,20.604746281538507,30.0,7.748188390811146e-24,0.421000741031268,0.0,0.0,25.0,0.528551678589904,0.0,92,20.604746281538507,30.0,7.748188390811146e-24,0.421000741031268,SURGE,0.55,0,0,0,0,wind_tunnel
93,1.86,20.612861843632942,30.0,7.651199985368992e-24,0.4057781047217211,0.0,0.0,25.0,0.5285694805415565,0.0,93,20.612861843632942,30.0,7.651199985368992e-24,0.4057781047217211,SURGE,0.55,0,0,0,0,wind_tunnel
94,1.8800000000000001,20.621113736220874,30.0,7.45039831193679e-24,0.41259462939665364,0.0,0.0,25.0,0.5285866393738243,0.0,94,20.621113736220874,30.0,7.45039831193679e-24,0.41259462939665364,SURGE,0.55,0,0,0,0,wind_tunnel
95,1.9000000000000001,20.62955922121303,30.0,7.259134717992619e-24,0.4222742496077702,0.0,0.0,25.0,0.5286040870224611,0.0,95,20.62955922121303,30.0,7.259134717992619e-24,0.4222742496077702,SURGE,0.55,0,0,0,0,wind_tunnel
96,1.92,20.63784332536483,30.0,7.076956144760795e-24,0.4142052075901552,0.0,0.0,25.0,0.5286219445956262,0.0,96,20.63784332536483,30.0,7.076956144760795e-24,0.4142052075901552,SURGE,0.55,0,0,0,0,wind_tunnel
97,1.94,20.646040806512218,30.0,7.120271488254584e-24,0.4098740573694195,0.0,0.0,25.0,0.5286394615228325,0.0,97,20.646040806512218,30.0,7.120271488254584e-24,0.4098740573694195,SURGE,0.55,0,0,0,0,wind_tunnel
98,1.96,20.654452879634906,30.0,7.161529352932418e-24,0.42060365613443773,0.0,0.0,25.0,0.528656795855105,0.0,98,20.654452879634906,30.0,7.161529352932418e-24,0.42060365613443773,SURGE,0.55,0,0,0,0,wind_tunnel
99,1.98,20.662944094333284,30.0,7.309247686286605e-24,0.4245607349188288,0.0,0.0,25.0,0.5286745845528772,0.0,99,20.662944094333284,30.0,7.309247686286605e-24,0.4245607349188288,SURGE,0.55,0,0,0,0,wind_tunnel
100,2.0,20.671053204370235,30.0,7.449949398806468e-24,0.4054555018474818,0.0,0.0,25.0,0.5286925412154353,0.0,100,20.671053204370235,30.0,7.449949398806468e-24,0.4054555018474818,SURGE,0.55,0,0,0,0,wind_tunnel
101,2.02,20.67925508932173,30.0,7.583967779981638e-24,0.41009424757478624,0.0,0.0,25.0,0.5287096903975327,0.0,101,20.67925508932173,30.0,7.583967779981638e-24,0.41009424757478624,SURGE,0.55,0,0,0,0,wind_tunnel
102,2.04,20.687671368077343,30.0,7.711620288050988e-24,0.42081393778056286,0.0,0.0,25.0,0.5287270363462836,0.0,102,20.687671368077343,30.0,7.711620288050988e-24,0.42081393778056286,SURGE,0.55,0,0,0,0,wind_tunnel
103,2.06,20.695995075971368,30.0,7.833209301987044e-24,0.4161853947012582,0.0,0.0,25.0,0.5287448363023948,0.0,103,20.695995075971368,30.0,7.833209301987044e-24,0.4161853947012582,SURGE,0.55,0,0,0,0,wind_tunnel
104,2.08,20.704162882994456,30.0,7.840602620512586e-24,0.40839035115443684,0.0,0.0,25.0,0.5287624410657384,0.0,104,20.704162882994456,30.0,7.840602620512586e-24,0.40839035115443684,SURGE,0.55,0,0,0,0,wind_tunnel
105,2.1,20.712528066272185,30.0,7.847644756408165e-24,0.41825916388645334,0.0,0.0,25.0,0.5287797166662631,0.0,105,20.712528066272185,30.0,7.847644756408165e-24,0.41825916388645334,SURGE,0.55,0,0,0,0,wind_tunnel
106,2.12,20.721018347090165,30.0,7.854352390848704e-24,0.4245140408989726,0.0,0.0,25.0,0.5287974103192566,0.0,106,20.721018347090165,30.0,7.854352390848704e-24,0.4245140408989726,SURGE,0.55,0,0,0,0,wind_tunnel
107,2.14,20.729201013212073,30.0,7.752321195404766e-24,0.40913330609537835,0.0,0.0,25.0,0.5288153691782441,0.0,107,20.729201013212073,30.0,7.752321195404766e-24,0.40913330609537835,SURGE,0.55,0,0,0,0,wind_tunnel
108,2.16,20.737422080339417,30.0,7.655136481744417e-24,0.41105335636716855,0.0,0.0,25.0,0.5288326779399307,0.0,108,20.737422080339417,30.0,7.655136481744417e-24,0.41105335636716855,SURGE,0.55,0,0,0,0,wind_tunnel
109,2.18,20.745866027322716,30.0,7.670988259231483e-24,0.42219734916496565,0.0,0.0,25.0,0.5288500685016451,0.0,109,20.745866027322716,30.0,7.670988259231483e-24,0.42219734916496565,SURGE,0.55,0,0,0,0,wind_tunnel
110,2.2,20.75427914113163,30.0,8.011347729033566e-24,0.42065569044562834,0.0,0.0,25.0,0.5288679311310677,0.0,110,20.75427914113163,30.0,8.011347729033566e-24,0.42065569044562834,SURGE,0.55,0,0,0,0,wind_tunnel
111,2.22,20.762461386612117,30.0,8.33554012402005e-24,0.40911227402437156,0.0,0.0,25.0,0.5288857291349172,0.0,111,20.762461386612117,30.0,8.33554012402005e-24,0.40911227402437156,SURGE,0.55,0,0,0,0,wind_tunnel
112,2.24,20.770812898315146,30.0,8.644333380244676e-24,0.41757558515151577,0.0,0.0,25.0,0.5289030393096555,0.0,112,20.770812898315146,30.0,8.644333380244676e-24,0.41757558515151577,SURGE,0.55,0,0,0,0,wind_tunnel
